# galuboy patch-array antenna pattern
# N=16  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=12.04 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-120,90,-20.000
-115,-90,-20.000
-115,-85,-20.000
-115,-80,-20.000
-115,-75,-20.000
-115,-70,-20.000
-115,-65,-20.000
-115,-60,-20.000
-115,-55,-20.000
-115,-50,-20.000
-115,-45,-20.000
-115,-40,-20.000
-115,-35,-20.000
-115,-30,-20.000
-115,-25,-20.000
-115,-20,-20.000
-115,-15,-20.000
-115,-10,-20.000
-115,-5,-20.000
-115,0,-20.000
-115,5,-20.000
-115,10,-20.000
-115,15,-20.000
-115,20,-20.000
-115,25,-20.000
-115,30,-20.000
-115,35,-20.000
-115,40,-20.000
-115,45,-20.000
-115,50,-20.000
-115,55,-20.000
-115,60,-20.000
-115,65,-20.000
-115,70,-20.000
-115,75,-20.000
-115,80,-20.000
-115,85,-20.000
-115,90,-20.000
-110,-90,-20.000
-110,-85,-20.000
-110,-80,-20.000
-110,-75,-20.000
-110,-70,-20.000
-110,-65,-20.000
-110,-60,-20.000
-110,-55,-20.000
-110,-50,-20.000
-110,-45,-20.000
-110,-40,-20.000
-110,-35,-20.000
-110,-30,-20.000
-110,-25,-20.000
-110,-20,-20.000
-110,-15,-20.000
-110,-10,-20.000
-110,-5,-20.000
-110,0,-20.000
-110,5,-20.000
-110,10,-20.000
-110,15,-20.000
-110,20,-20.000
-110,25,-20.000
-110,30,-20.000
-110,35,-20.000
-110,40,-20.000
-110,45,-20.000
-110,50,-20.000
-110,55,-20.000
-110,60,-20.000
-110,65,-20.000
-110,70,-20.000
-110,75,-20.000
-110,80,-20.000
-110,85,-20.000
-110,90,-20.000
-105,-90,-20.000
-105,-85,-20.000
-105,-80,-20.000
-105,-75,-20.000
-105,-70,-20.000
-105,-65,-20.000
-105,-60,-20.000
-105,-55,-20.000
-105,-50,-20.000
-105,-45,-20.000
-105,-40,-20.000
-105,-35,-20.000
-105,-30,-20.000
-105,-25,-20.000
-105,-20,-20.000
-105,-15,-20.000
-105,-10,-20.000
-105,-5,-20.000
-105,0,-20.000
-105,5,-20.000
-105,10,-20.000
-105,15,-20.000
-105,20,-20.000
-105,25,-20.000
-105,30,-20.000
-105,35,-20.000
-105,40,-20.000
-105,45,-20.000
-105,50,-20.000
-105,55,-20.000
-105,60,-20.000
-105,65,-20.000
-105,70,-20.000
-105,75,-20.000
-105,80,-20.000
-105,85,-20.000
-105,90,-20.000
-100,-90,-20.000
-100,-85,-20.000
-100,-80,-20.000
-100,-75,-20.000
-100,-70,-20.000
-100,-65,-20.000
-100,-60,-20.000
-100,-55,-20.000
-100,-50,-20.000
-100,-45,-20.000
-100,-40,-20.000
-100,-35,-20.000
-100,-30,-20.000
-100,-25,-20.000
-100,-20,-20.000
-100,-15,-20.000
-100,-10,-20.000
-100,-5,-20.000
-100,0,-20.000
-100,5,-20.000
-100,10,-20.000
-100,15,-20.000
-100,20,-20.000
-100,25,-20.000
-100,30,-20.000
-100,35,-20.000
-100,40,-20.000
-100,45,-20.000
-100,50,-20.000
-100,55,-20.000
-100,60,-20.000
-100,65,-20.000
-100,70,-20.000
-100,75,-20.000
-100,80,-20.000
-100,85,-20.000
-100,90,-20.000
-95,-90,-20.000
-95,-85,-20.000
-95,-80,-20.000
-95,-75,-20.000
-95,-70,-20.000
-95,-65,-20.000
-95,-60,-20.000
-95,-55,-20.000
-95,-50,-20.000
-95,-45,-20.000
-95,-40,-20.000
-95,-35,-20.000
-95,-30,-20.000
-95,-25,-20.000
-95,-20,-20.000
-95,-15,-20.000
-95,-10,-20.000
-95,-5,-20.000
-95,0,-20.000
-95,5,-20.000
-95,10,-20.000
-95,15,-20.000
-95,20,-20.000
-95,25,-20.000
-95,30,-20.000
-95,35,-20.000
-95,40,-20.000
-95,45,-20.000
-95,50,-20.000
-95,55,-20.000
-95,60,-20.000
-95,65,-20.000
-95,70,-20.000
-95,75,-20.000
-95,80,-20.000
-95,85,-20.000
-95,90,-20.000
-90,-90,-20.000
-90,-85,-20.000
-90,-80,-20.000
-90,-75,-20.000
-90,-70,-20.000
-90,-65,-20.000
-90,-60,-20.000
-90,-55,-20.000
-90,-50,-20.000
-90,-45,-20.000
-90,-40,-20.000
-90,-35,-20.000
-90,-30,-20.000
-90,-25,-20.000
-90,-20,-20.000
-90,-15,-20.000
-90,-10,-20.000
-90,-5,-20.000
-90,0,-20.000
-90,5,-20.000
-90,10,-20.000
-90,15,-20.000
-90,20,-20.000
-90,25,-20.000
-90,30,-20.000
-90,35,-20.000
-90,40,-20.000
-90,45,-20.000
-90,50,-20.000
-90,55,-20.000
-90,60,-20.000
-90,65,-20.000
-90,70,-20.000
-90,75,-20.000
-90,80,-20.000
-90,85,-20.000
-90,90,-20.000
-85,-90,-20.000
-85,-85,-20.000
-85,-80,-20.000
-85,-75,-20.000
-85,-70,-20.000
-85,-65,-20.000
-85,-60,-20.000
-85,-55,-20.000
-85,-50,-20.000
-85,-45,-20.000
-85,-40,-20.000
-85,-35,-20.000
-85,-30,-20.000
-85,-25,-20.000
-85,-20,-20.000
-85,-15,-20.000
-85,-10,-20.000
-85,-5,-20.000
-85,0,-20.000
-85,5,-20.000
-85,10,-20.000
-85,15,-20.000
-85,20,-20.000
-85,25,-20.000
-85,30,-20.000
-85,35,-20.000
-85,40,-20.000
-85,45,-20.000
-85,50,-20.000
-85,55,-20.000
-85,60,-20.000
-85,65,-20.000
-85,70,-20.000
-85,75,-20.000
-85,80,-20.000
-85,85,-20.000
-85,90,-20.000
-80,-90,-20.000
-80,-85,-20.000
-80,-80,-20.000
-80,-75,-20.000
-80,-70,-20.000
-80,-65,-20.000
-80,-60,-20.000
-80,-55,-20.000
-80,-50,-20.000
-80,-45,-20.000
-80,-40,-20.000
-80,-35,-20.000
-80,-30,-20.000
-80,-25,-20.000
-80,-20,-20.000
-80,-15,-20.000
-80,-10,-20.000
-80,-5,-20.000
-80,0,-20.000
-80,5,-20.000
-80,10,-20.000
-80,15,-20.000
-80,20,-20.000
-80,25,-20.000
-80,30,-20.000
-80,35,-20.000
-80,40,-20.000
-80,45,-20.000
-80,50,-20.000
-80,55,-20.000
-80,60,-20.000
-80,65,-20.000
-80,70,-20.000
-80,75,-20.000
-80,80,-20.000
-80,85,-20.000
-80,90,-20.000
-75,-90,-20.000
-75,-85,-20.000
-75,-80,-20.000
-75,-75,-20.000
-75,-70,-20.000
